feature,coef,odds_ratio,support_share
attire Unknown,1.3874045049590622,4.004443041107735,0.45191917779486823
category: Mexican,0.6014185975386098,1.824705487936299,0.018947074040411103
alcohol none,0.5221871687054679,1.6857105540344324,0.2924281619240719
category: Other,0.4697245003284289,1.5995534560568723,0.46288191288540864
parking street,0.4495242041169239,1.5675661664993905,0.23217506816751732
alcohol beer wine,0.43360448432695875,1.5428085424687152,0.08721247290778159
category: American (New),0.43021293311423964,1.5375848914326535,0.017185205900859958
wifi infrequent sklearn,0.420809313312932,1.5231937979351637,
category: Nightlife,0.3436071153437909,1.4100245496584527,0.03203523736279102
outdoor seating,0.3016192955370983,1.35204639861902,0.31502481996783893
category: Bars,0.2870680090407989,1.3325148334498254,0.027057260714535413
parking validated,0.24075082846540485,1.272203998788935,0.00862756065161155
category: Food,0.23456711690774706,1.2643613296107834,0.09484723484583654
price,0.13369395199435508,1.143042940095226,0.8207229252604349
category: Restaurants,0.11263493740798755,1.1192232718110295,0.21380130042648396
category: Sandwiches,0.06522100230210885,1.0673948950483176,0.024064881493392993
good for kids,0.011560143227078589,1.011627219905608,0.5148150737607495
alcohol Unknown,0.00841420743223376,1.008449706370882,0.39697965461791235
reservations,0.005381519445651704,1.0053960258318828,0.2067538278682794
category: Coffee & Tea,-0.004572921261780769,0.9954375186229997,0.021673774732573585
attire casual,-0.02564313041336729,0.974682862220463,0.5353562189750402
wifi no,-0.035107850222844864,0.965501281113843,0.2637069146332937
accepts credit cards,-0.053003568979335024,0.9483766277396719,0.8234775921135427
wifi free,-0.07634292785684028,0.9264984299543213,0.3461371740194365
takeout,-0.08839577917029832,0.9153985093568023,0.7289240019576313
category: Italian,-0.19408137582930773,0.823590881150619,0.016192407187303363
parking lot,-0.22371098105397128,0.7995461849744382,0.4268894637488639
wifi Unknown,-0.3147627444042504,0.7299620413048048,0.3853876809061036
category: American (Traditional),-0.3437924969913813,0.7090760481983868,0.022862336572746975
parking garage,-0.3628545586168787,0.6956876079093584,0.04021533943927847
attire dressy,-0.3699017274665036,0.6908022141854888,0.011214430539047752
delivery,-0.44041029878002597,0.6437722279280496,0.4428581416486052
review count (log1p),-0.48282496705601063,0.6170378158676137,1.0
has tv,-0.49669554871982435,0.6085382258530538,0.47734041809410616
category: Pizza,-0.5903959332634532,0.5541078515669526,0.028889044256449697
good for groups,-0.622331390299551,0.5366917399821073,0.533035027616584
parking valet,-0.6391191825716891,0.527757077007135,0.01761868139551143
alcohol full bar,-0.9696100696357035,0.3792308829132621,0.22337971055023423
attire infrequent sklearn,-0.9972638562501736,0.3688873905234201,
category: Fast Food,-1.4170156938088256,0.24243644296828895,0.01956232958120674
