feature,n_true,n_false,pos_rate_true,pos_rate_false,lift_true_vs_base_pp,delta_true_minus_false_pp,phi,odds_ratio,or_ci_lo,or_ci_hi
dogs_allowed,3741,10132,0.08233092755947607,0.039676273193841295,0.03007615583326479,0.04265465436563478,0.08590160074603742,2.171519333133343,1.8626318946019202,2.531630768182282
parking_street,16604,40196,0.052397012768007706,0.03726738979002886,0.00014224104179642177,0.015129622977978846,0.034427690646377254,1.4284229317748014,1.3112662279305385,1.5560471463070462
good_for_kids,36817,7080,0.020126571964038352,0.021610169491525423,-0.03212819976217293,-0.001483597527487071,-0.0038631252764354984,0.929937126197635,0.7799109439352802,1.1088228283054828
parking_validated,617,57353,0.03727714748784441,0.04125329102226562,-0.014977624238366877,-0.00397614353442121,-0.0020526336887436215,0.8998843037304576,0.5921220568547085,1.36760951686546
reservations,14786,29926,0.01643446503449209,0.02121900688364633,-0.03582030669171919,-0.00478454184915424,-0.016223226616309278,0.7707485972903597,0.6639348866033083,0.8947464762158154
delivery,31671,19287,0.030059044551798177,0.036604967076268986,-0.022195727174413107,-0.00654592252447081,-0.017894450490725293,0.8156320008277536,0.7387249133807232,0.9005457223985972
parking_garage,2876,55308,0.03442280945757997,0.041675706950169956,-0.01783196226863131,-0.007252897492589984,-0.007899388452754971,0.8197639894484989,0.6679790535586273,1.0060390289431993
good_for_groups,38120,5999,0.01353620146904512,0.021336889481580263,-0.038718570257166164,-0.007800688012535143,-0.02229390040446614,0.6293870000531858,0.517630894383101,0.7652711616219197
parking_any,44102,15995,0.0388417758831799,0.04807752422632072,-0.013412995843031385,-0.009235748343140823,-0.020512787625098325,0.8001357542368517,0.7334150243460609,0.8729262476985881
parking_lot,30529,27309,0.03599855874742049,0.047273792522611595,-0.016256212978790797,-0.011275233775191108,-0.0282808754965855,0.7525842018227552,0.693227430890017,0.8170233253840357
drive_thru,4358,2563,0.005736576411197797,0.021069059695669138,-0.046518195315013486,-0.01533248328447134,-0.06969880552512871,0.2680761767999248,0.16643296421338932,0.4317944879929208
has_tv,34137,10674,0.016756012537715675,0.04037848978827056,-0.03549875918849561,-0.02362247725055489,-0.06802593738401548,0.40500396951166195,0.3567149491352359,0.45982994465986815
table_service,12671,7174,0.022965827480072608,0.05018120992472819,-0.029288944246138676,-0.02721538244465558,-0.0734052857709278,0.4449098007539041,0.3801481827462219,0.5207041353635036
parking_valet,1260,58833,0.011904761904761904,0.04193224890792582,-0.04035000982144938,-0.03002748700316392,-0.021620272427391875,0.2752770302938548,0.16518645905891624,0.4587388327052685
happy_hour,9720,5209,0.01646090534979424,0.05279324246496449,-0.035793866376417044,-0.03633233711517025,-0.102959135991065,0.3002814758463294,0.24636931734898812,0.3659910483443974
accepts_credit_cards,58891,2392,0.04425124382333463,0.10827759197324414,-0.008003527902876652,-0.06402634814990951,-0.058739213695299795,0.381305291636641,0.3332131892552648,0.4363384467315369
wheelchair_accessible,16609,1552,0.07399602625082786,0.16172680412371135,0.02174125452461658,-0.08773077787288348,-0.08964533246592579,0.4141895357451857,0.3575374747472124,0.4798181551237518
