feature,importance_mean,importance_std
attire_Unknown,0.05366604261298837,0.0027888268288590377
review_count_log1p,0.034609528370853425,0.0018064314063054206
good_for_groups,0.020032938155501178,0.0009167699877968948
price,0.00882216239338376,0.001297689983299268
parking_street,0.006080062527524755,0.0005103177329006583
delivery,0.004937703099143609,0.0011717281414039692
cuisine__american (traditional),0.004416410821507744,0.0012787243379860788
state_AB,0.004035110443600454,0.000718964573706766
has_tv,0.003925984243013136,0.0014194647643815076
wifi_Unknown,0.0033787230762328813,0.0006595224791051151
cuisine__pizza,0.003322703569869234,0.000924410226631502
cuisine__food trucks,0.003273609100610719,0.0010006362429841103
cuisine__chinese,0.0029444550103211674,0.0007640926717280785
cuisine__specialty food,0.0029189094582989573,0.000980698231215359
cuisine__caterers,0.002359839081345805,0.0006020909258207621
takeout,0.0023363280748964765,0.0004530961626084492
cuisine__cafes,0.002254131170059548,0.0005089273614663653
state_CA,0.002253511960537291,0.000269432069370441
cuisine__burgers,0.0021286591017796175,0.0008526391423291586
cuisine__ice cream & frozen yogurt,0.0020637874266346222,0.0005372348002531329
cuisine__chicken wings,0.0019058005399759104,0.0004999620675282028
cuisine__vegan,0.001661484472689323,0.00028918552021677104
cuisine__wine bars,0.001363954297282466,0.000568311131504081
cuisine__coffee & tea,0.0013497567075239302,6.076739152998547e-05
parking_garage,0.0011252300710890006,0.0002894382748124116
parking_lot,0.0008628558322270275,0.00016158626416619241
accepts_credit_cards,0.0008528410659754515,0.0002731296800120515
state_NJ,0.0008144121648133052,0.0006190333845644571
cuisine__bakeries,0.0007766277470313776,9.62538454951471e-05
cuisine__desserts,0.0005916736538353007,0.000667569505130121
state_FL,0.0005869411239158185,0.00015960102367910714
wifi_no,0.00048681873525819875,0.00014625094398253594
cuisine__mexican,0.0004156917802462967,9.432629108259876e-05
cuisine__donuts,0.0003652704334402568,0.00013425387544883162
cuisine__indian,0.0003648786886405242,9.331913823912783e-05
state_NV,0.00035844017330282084,0.0001979986238474566
outdoor_seating,0.00031369280762858496,9.72289265063928e-05
wifi_free,0.00028767968923257834,4.4205189742034294e-05
cuisine__latin american,0.00024219938167504562,0.00015438710867361218
parking_valet,0.0002336757730482919,0.000129728200968446
cuisine__beer bar,0.00022359782215157774,0.00015234310697378987
ambience_intimate,0.00022140531496592786,0.00014418699661702453
state_TN,0.00020004890491529537,4.169377257278062e-05
cuisine__juice bars & smoothies,0.0001160006899762589,0.00015270979928648723
cuisine__tacos,0.00011428206762897908,6.0284805996846184e-05
parking_validated,0.00010532880341547201,4.0310357642615025e-05
state_PA,0.00010335744248772816,0.0003759130731731076
state_ID,9.980646543197302e-05,5.4894972405613015e-05
cuisine__mediterranean,9.882078496805668e-05,9.85644638341451e-05
cuisine__italian,8.407348879697629e-05,2.1853653395769506e-05
cuisine__barbeque,7.845637384580328e-05,0.0002066661880890764
good_for_kids,4.9258749335723274e-05,8.895320956713938e-06
ambience_classy,4.5657224563844245e-05,0.00011201605552054646
cuisine__bagels,4.2997151004287025e-05,0.00011331746243406432
cuisine__american (new),3.250849991434102e-05,3.2924414550242e-05
state_IL,2.471783317097298e-05,7.864117800226151e-05
attire_casual,1.9448233768004643e-05,1.3942355919982163e-05
cuisine__vietnamese,1.3325641655814735e-05,0.0001099559327451468
cuisine__vegetarian,1.229573194032607e-05,7.923844844126182e-05
cuisine__gluten-free,1.1486968482810057e-05,0.0001327381975017191
cuisine__salad,1.0235912509437562e-05,2.6848790670464744e-05
state_DE,9.161773542332164e-06,2.224532962925991e-05
cuisine__thai,8.428831659013091e-06,4.5165493673814487e-05
cuisine__tex-mex,5.888808925202938e-06,5.492254177994679e-06
ambience_divey,4.599842164743073e-06,0.00013901884642961854
cuisine__steakhouses,0.0,0.0
attire_infrequent_sklearn,0.0,0.0
attire_dressy,0.0,0.0
cuisine__cocktail bars,0.0,0.0
cuisine__seafood,0.0,0.0
ambience_upscale,0.0,0.0
ambience_touristy,0.0,0.0
ambience_romantic,0.0,0.0
ambience_hipster,0.0,0.0
ambience_casual,0.0,0.0
reservations,-2.4010165144972007e-07,4.802033028994401e-07
ambience_trendy,-6.520655376474061e-06,1.753618768180703e-05
state_LA,-2.46546485260124e-05,3.5927822646212066e-05
cuisine__sandwiches,-2.4907387106476442e-05,6.145188514164004e-05
cuisine__japanese,-2.507166718379583e-05,6.989130498933579e-05
state_AZ,-3.9427218555077025e-05,2.6869510854023627e-05
cuisine__cajun/creole,-4.1164796295878324e-05,2.8966318154578966e-05
wifi_infrequent_sklearn,-4.227684605000448e-05,4.297067540423318e-05
